version, nprocs, field_time, advance_time
bufferPacking, 3072, 0.432, 1.25
bufferPacking, 3072, 0.463, 1.28
bufferPacking, 3072, 0.626, 1.46
bufferPacking, 3072, 0.435, 1.25
orig, 3072, 1.369, 3.17
orig, 3072, 1.324, 3.11
orig, 3072, 1.355, 3.14
orig, 3072, 1.359, 3.15
bufferPacking, 6144, 0.311, 1.00
bufferPacking, 6144, 0.249, 0.94
orig, 6144, 1.370, 3.05
orig, 6144, 1.476, 3.15
orig, 6912, 2.464, 4.16
orig, 6912, 2.290, 3.98
bufferPacking, 12288, 0.672, 1.65
bufferPacking, 12288, 0.670, 1.65
